,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
36,Набор для создания украшений для девочек подарок,67772352,77,3600,828,HoneyBoo,1038012,93,5,https://www.wildberries.ru/catalog/67772352/detail.aspx?targetUrl=BP
37,❄️🎄☃️Варежки детские зимние непромокаемые для мальчика,6621229,59,2755,1129,Чудо-Кроха,3874,531,5,https://www.wildberries.ru/catalog/6621229/detail.aspx?targetUrl=BP
38,Шарф женский теплый большой вязаный длинный широкий модный,107142482,80,5000,1000,PURGATOIRE,51536693,831,5,https://www.wildberries.ru/catalog/107142482/detail.aspx?targetUrl=BP
39,"Набор для создания украшений браслетов, подарок для девочки",114949583,79,5000,1050,MyCharm!,310424618,363,5,https://www.wildberries.ru/catalog/114949583/detail.aspx?targetUrl=BP
40,Набор для создания браслетов Бижутерия Подарок для девочки,102774338,79,5600,1176,Girliess,27856462,178,5,https://www.wildberries.ru/catalog/102774338/detail.aspx?targetUrl=BP
41,Варежки детские зимние утепленные,97644862,64,1900,684,Lucky Trac,502569,810,5,https://www.wildberries.ru/catalog/97644862/detail.aspx?targetUrl=BP
42,Варежки зимние детские непромокаемые для мальчика девочки,6621260,59,2755,1129,Чудо-Кроха,3874,769,5,https://www.wildberries.ru/catalog/6621260/detail.aspx?targetUrl=BP
43,Шарф женский зимний осенний шерстяной,120714922,64,5247,1888,BEREG,126502,287,5,https://www.wildberries.ru/catalog/120714922/detail.aspx?targetUrl=BP
44,"Палантин, шарф в клетку, теплый, стильный подарок ""Валенсия""",15919993,65,1990,696,Платочная мануфактура Россия,44386,5470,5,https://www.wildberries.ru/catalog/15919993/detail.aspx?targetUrl=BP
45,Шарф детский зимний теплый в полоску Слизерин девочек,49854665,70,3200,960,В Хогсмиде,1150899,96,5,https://www.wildberries.ru/catalog/49854665/detail.aspx?targetUrl=BP
46,Набор для создания украшений для девочки,91061346,56,2000,880,Персей,39462,143,5,https://www.wildberries.ru/catalog/91061346/detail.aspx?targetUrl=BP
47,Набор для создания браслетов для девочки. Подарок на 8 марта,109590228,52,1750,840,Fantastic party,447891,104,5,https://www.wildberries.ru/catalog/109590228/detail.aspx?targetUrl=BP
