,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
118,Кроссовки,39640617,58,14780,6207,Lacoste,524,7,4,https://www.wildberries.ru/catalog/39640617/detail.aspx?targetUrl=BP
119,Кеды STRAIGHTSET 120 1 CUC,12492356,61,6580,2566,Lacoste,524,40,5,https://www.wildberries.ru/catalog/12492356/detail.aspx?targetUrl=BP
120,Кеды GRIPSHOT SLIP ON 2202CMA,12298141,61,9480,3697,Lacoste,524,13,4,https://www.wildberries.ru/catalog/12298141/detail.aspx?targetUrl=BP
121,Кроссовки,116559642,39,8169,4983,Tommy Hilfiger,1876,2,3,https://www.wildberries.ru/catalog/116559642/detail.aspx?targetUrl=BP
122,Кеды,39640618,58,11880,4989,Lacoste,524,4,3,https://www.wildberries.ru/catalog/39640618/detail.aspx?targetUrl=BP
123,Кеды SIDELINE HI 0120 2 CFA,14279593,60,12480,4992,Lacoste,524,30,3,https://www.wildberries.ru/catalog/14279593/detail.aspx?targetUrl=BP
124,Кеды,23150748,50,11480,5740,Lacoste,524,8,4,https://www.wildberries.ru/catalog/23150748/detail.aspx?targetUrl=BP
125,Слипоны,20977886,50,9480,4740,Lacoste,524,20,4,https://www.wildberries.ru/catalog/20977886/detail.aspx?targetUrl=BP
126,Кеды CARNABY EVO EASY 1201 SUC,11995546,61,6480,2527,Lacoste,524,16,4,https://www.wildberries.ru/catalog/11995546/detail.aspx?targetUrl=BP
127,Кеды,20977910,50,11480,5740,Lacoste,524,9,3,https://www.wildberries.ru/catalog/20977910/detail.aspx?targetUrl=BP
128,Кроссовки MASTERS CUP 120 3 SUC,12180035,61,7480,2917,Lacoste,524,18,4,https://www.wildberries.ru/catalog/12180035/detail.aspx?targetUrl=BP
129,Кеды,20977936,60,11980,4792,Lacoste,524,38,3,https://www.wildberries.ru/catalog/20977936/detail.aspx?targetUrl=BP
130,Шлепанцы,140837005,0,5601,5601,Tommy Hilfiger,1876,0,0,https://www.wildberries.ru/catalog/140837005/detail.aspx?targetUrl=BP
131,Кеды,12119150,71,18990,5507,Master of Arts,65150,3,4,https://www.wildberries.ru/catalog/12119150/detail.aspx?targetUrl=BP
132,Шлепанцы,137849665,0,5107,5107,TOMMY JEANS,20253,0,0,https://www.wildberries.ru/catalog/137849665/detail.aspx?targetUrl=BP
133,Кроссовки,16998612,70,19190,5757,Love Moschino,15483,17,4,https://www.wildberries.ru/catalog/16998612/detail.aspx?targetUrl=BP
134,Слипоны,7228326,75,9980,2495,Lacoste,524,13,3,https://www.wildberries.ru/catalog/7228326/detail.aspx?targetUrl=BP
135,Угги Classic Tall II,8963396,75,24990,6247,UGG,14599,137,4,https://www.wildberries.ru/catalog/8963396/detail.aspx?targetUrl=BP
136,Кроссовки STRAIGHTSET EASY 1201CFA,11625989,61,12980,5062,Lacoste,524,38,5,https://www.wildberries.ru/catalog/11625989/detail.aspx?targetUrl=BP
137,Кроссовки ORENO 120 1 CFA,11129894,61,13480,5257,Lacoste,524,37,4,https://www.wildberries.ru/catalog/11129894/detail.aspx?targetUrl=BP
138,Кеды,7165438,75,12980,3245,Lacoste,524,52,4,https://www.wildberries.ru/catalog/7165438/detail.aspx?targetUrl=BP
139,Туфли,29896501,62,13390,5088,GUESS,398,5,4,https://www.wildberries.ru/catalog/29896501/detail.aspx?targetUrl=BP
140,Кроссовки,27577461,63,14590,5398,Colmar,4407,3,3,https://www.wildberries.ru/catalog/27577461/detail.aspx?targetUrl=BP
141,Кроссовки,11864573,61,12990,5066,Liu Jo Junior,66479,6,5,https://www.wildberries.ru/catalog/11864573/detail.aspx?targetUrl=BP
142,Ботинки,49625991,58,12990,5455,GUESS,398,1,5,https://www.wildberries.ru/catalog/49625991/detail.aspx?targetUrl=BP
143,Кеды,8474784,61,12980,5062,Lacoste,524,20,4,https://www.wildberries.ru/catalog/8474784/detail.aspx?targetUrl=BP
144,Кеды LEROND 220 1 CUC,12298152,61,5980,2332,Lacoste,524,22,4,https://www.wildberries.ru/catalog/12298152/detail.aspx?targetUrl=BP
