,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
169,Шапка Пуштунка Афганка Паколь Душманка шерстяная с отворотом,45524207,65,5000,1750,Шапки шерстяные,560367,14,5,https://www.wildberries.ru/catalog/45524207/detail.aspx?targetUrl=BP
170,Шапка Пуштунка Афганка Паколь Душманка шерстяная с отворотом,45524204,65,5000,1750,Шапки шерстяные,560367,14,5,https://www.wildberries.ru/catalog/45524204/detail.aspx?targetUrl=BP
171,Рубашка мужская классика большие размеры,116563950,74,6999,1819,KIDONLY,9734,25,4,https://www.wildberries.ru/catalog/116563950/detail.aspx?targetUrl=BP
172,Шапка мужская зимняя со снудом Бини вязаная теплая женская,141103331,60,3000,1200,LuckyCap,113404,0,0,https://www.wildberries.ru/catalog/141103331/detail.aspx?targetUrl=BP
173,Шапка Пуштунка Афганка Паколь Душманка шерстяная с отворотом,45524206,65,5000,1750,Шапки шерстяные,560367,14,5,https://www.wildberries.ru/catalog/45524206/detail.aspx?targetUrl=BP
174,Шапка,112654094,0,1767,1767,Шапка мужская,567912,6,4,https://www.wildberries.ru/catalog/112654094/detail.aspx?targetUrl=BP
175,Шапка Пуштунка Афганка Паколь Душманка шерстяная,146232358,0,1899,1899,UP CAR SPB,1021865,0,0,https://www.wildberries.ru/catalog/146232358/detail.aspx?targetUrl=BP
176,Шапка Пуштунка Афганка Паколь Душманка шерстяная,146232357,0,1899,1899,UP CAR SPB,1021865,0,0,https://www.wildberries.ru/catalog/146232357/detail.aspx?targetUrl=BP
177,Шапка,112654776,0,1767,1767,Шапка мужская,567912,6,4,https://www.wildberries.ru/catalog/112654776/detail.aspx?targetUrl=BP
178,Шапка,112654664,0,1767,1767,Шапка мужская,567912,6,4,https://www.wildberries.ru/catalog/112654664/detail.aspx?targetUrl=BP
179,Шапка,112654163,0,1767,1767,Шапка мужская,567912,6,4,https://www.wildberries.ru/catalog/112654163/detail.aspx?targetUrl=BP
180,Узбекская тюбетейка,87863007,0,630,630,АЛЬ-КАРИМ,1184185,24,5,https://www.wildberries.ru/catalog/87863007/detail.aspx?targetUrl=BP
181,Чеченская тюбетейка. Вайнахская. Пяс,109820277,0,940,940,АЛЬ-КАРИМ,1184185,13,5,https://www.wildberries.ru/catalog/109820277/detail.aspx?targetUrl=BP
182,Шапка,108102001,10,1220,1098,Ello 13,55223007,0,0,https://www.wildberries.ru/catalog/108102001/detail.aspx?targetUrl=BP
183,Тюбетейка узбекская. Таджикская. Доппе,108576652,0,920,920,АЛЬ-КАРИМ,1184185,24,5,https://www.wildberries.ru/catalog/108576652/detail.aspx?targetUrl=BP
184,Тюбетейка узбекская. Таджикская. Доппе,108779967,0,920,920,АЛЬ-КАРИМ,1184185,24,5,https://www.wildberries.ru/catalog/108779967/detail.aspx?targetUrl=BP
185,шапка мужская женская зимняя,132491414,0,2340,2340,Ello13,8622161,0,0,https://www.wildberries.ru/catalog/132491414/detail.aspx?targetUrl=BP
186,"шапка зимняя мужсоя, женская",132492609,10,1990,1791,Ello13,8622161,0,0,https://www.wildberries.ru/catalog/132492609/detail.aspx?targetUrl=BP
187,Шапка мужская,124525909,0,999,999,Ello13,8622161,0,0,https://www.wildberries.ru/catalog/124525909/detail.aspx?targetUrl=BP
188,Тюбетейка узбекская. Таджикская. Доппе,108700830,0,920,920,АЛЬ-КАРИМ,1184185,24,5,https://www.wildberries.ru/catalog/108700830/detail.aspx?targetUrl=BP
189,Шапка Пуштунка Афганка Паколь Душманка шерстяная с отворотом,144216651,65,5000,1750,Шапки шерстяные,560367,14,5,https://www.wildberries.ru/catalog/144216651/detail.aspx?targetUrl=BP
190,Рубашка мусульманская Камис удлиненная,145569170,0,2500,2500,Лавка Восток,310572534,0,0,https://www.wildberries.ru/catalog/145569170/detail.aspx?targetUrl=BP
191,Головной убор тюбетейка тюбитейка переливающийся цвет,142516751,0,750,750,Ручная работа,74427,12,5,https://www.wildberries.ru/catalog/142516751/detail.aspx?targetUrl=BP
192,Тюбетейка с красивым орнаментом,112709102,0,800,800,Ручная Работа- handmade,1238001,4,5,https://www.wildberries.ru/catalog/112709102/detail.aspx?targetUrl=BP
193,Головной убор тюбетейка тюбитейка переливающийся цвет,112709392,0,750,750,Ручная работа,74427,12,5,https://www.wildberries.ru/catalog/112709392/detail.aspx?targetUrl=BP
194,Чеченская тюбетейка. Вайнахская. Пяс,109822546,0,940,940,АЛЬ-КАРИМ,1184185,13,5,https://www.wildberries.ru/catalog/109822546/detail.aspx?targetUrl=BP
195,Шапка,66218368,45,1799,989,Balanovo,982463,2,2,https://www.wildberries.ru/catalog/66218368/detail.aspx?targetUrl=BP
