,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
890,Брюки женские с начёсом утеплённые,105451336,64,3300,1188,LIONA,122207,601,5,https://www.wildberries.ru/catalog/105451336/detail.aspx?targetUrl=BP
891,Брюки спортивные женские футер,39711987,39,1930,1177,Спаленка,18583,290,5,https://www.wildberries.ru/catalog/39711987/detail.aspx?targetUrl=BP
892,Брюки женские палаццо классические штаны широкие кюлоты офис,112411479,72,3980,1114,ТЕЛОДВИЖЕНИЯ,107112,53,4,https://www.wildberries.ru/catalog/112411479/detail.aspx?targetUrl=BP
893,Леггинсы бесшовные женские лосины в рубчик спортивные,140669342,95,15650,782,PERFERITA,1506784,110,5,https://www.wildberries.ru/catalog/140669342/detail.aspx?targetUrl=BP
894,Брюки домашние женские Штаны хлопок,139864265,69,2300,713,LifeStyle37,1193827,4,5,https://www.wildberries.ru/catalog/139864265/detail.aspx?targetUrl=BP
895,Брюки палаццо,92347570,34,4080,2692,SPARADA,6404,119,5,https://www.wildberries.ru/catalog/92347570/detail.aspx?targetUrl=BP
896,Брюки с начесом зимние утепленные,100092955,43,4000,2280,IVUSHKA,108929,47,5,https://www.wildberries.ru/catalog/100092955/detail.aspx?targetUrl=BP
897,Брюки женские утеплённые спортивные зимние теплые на флисе,16788163,56,5000,2200,Sevenseventeen,37676,25,4,https://www.wildberries.ru/catalog/16788163/detail.aspx?targetUrl=BP
898,Брюки бархатные домашние спортивные женские,125872578,44,3756,2103,Синель Official,684539,1,5,https://www.wildberries.ru/catalog/125872578/detail.aspx?targetUrl=BP
899,Брюки,122037328,45,3799,2089,SAVAGE,1270,17,5,https://www.wildberries.ru/catalog/122037328/detail.aspx?targetUrl=BP
